property_id,property_name,intended_use,district_key,district_name,property_address,postal_code,postal_area,grossarea,totalgrossarea,volume,totalfloorarea,year_built,year_renovated,floorcount,attic_floorcount,keyfield
612202,"Piilikujan ryhmäperhepäiväkoti, autotalli",231 Lasten päiväkodit,06,Kaakkuri,Nuolikuja 4,90410,OULU,51.0,59.0,187.0,59.0,1992,0,1,0,503309
602101,Kaupunginsairaala,213 Muut sairaalat,03,Oulunsuu,Kiviharjuntie 5 A,90220,OULU,11122.0,12600.0,52079.0,10790.0,2002,0,3,1,503310
602201,"Pysäköintitalo, kaupunginsairaala",163 Pysäköintitalot,03,Oulunsuu,Kiviharjuntie 5 D,90220,OULU,7130.0,7305.0,23743.0,7250.0,2002,0,3,1,503311
600401,Kaupunginarkisto ja kirjaamo,322 Kirjastot ja arkistot,01,Keskusta,Kansankatu 55,90120,OULU,2324.0,2778.0,8200.0,2144.0,1951,2002,0,0,503312
631201,Talvikkipuiston huoltorakennus,359 Muut urheilu- ja kuntoilurakennukset,11,Pateniemi,Tervakukkatie 54,90580,OULU,376.0,412.0,1525.0,412.0,2003,0,1,0,503313
663701,Myllyojan-Hintan asukastupa,013 Muut erilliset pientalot,13,Myllyoja,Jokivarrenpolku 5,90650,OULU,0.0,123.0,310.0,123.0,1928,1955,2,0,503314
663703,"Myllyojan-Hintan asukastupa, sauna",013 Muut erilliset pientalot,13,Myllyoja,Jokivarrenpolku 5,90650,OULU,0.0,11.0,35.0,11.0,1928,0,0,0,503315
608401,Värtön päiväkoti,231 Lasten päiväkodit,03,Oulunsuu,Kurkelantie 9,90230,OULU,1603.0,1789.0,7703.0,1656.0,2003,0,1,1,503316
622101,Heikkilänkankaan monitoimitalo,511 Yleissivistävien oppilaitosten rakennukset,07,Maikkula,Kyytipojantie 2,90310,OULU,1669.0,1778.0,7733.0,1754.0,2003,0,0,0,503317
622102,"Heikkilänkankaan monitoimitalo, kiint.hoit. varasto ja jätekatos",511 Yleissivistävien oppilaitosten rakennukset,07,Maikkula,Kyytipojantie 2,90310,OULU,26.0,30.0,84.0,30.0,2003,0,0,0,503318
622103,"Heikkilänkankaan monitoimitalo, pihavarasto",511 Yleissivistävien oppilaitosten rakennukset,07,Maikkula,Kyytipojantie 2,90310,OULU,0.0,16.0,59.0,16.0,2003,0,0,0,503319
622104,"Heikkilänkankaan monitoimitalo, pihavarasto",511 Yleissivistävien oppilaitosten rakennukset,07,Maikkula,Kyytipojantie 2,90310,OULU,0.0,18.0,67.0,18.0,2003,0,0,0,503320
621701,"Kaakkurin koulu ja Kaakonpojan päiväkoti, päärakennus",511 Yleissivistävien oppilaitosten rakennukset,06,Kaakkuri,Pesätie 15,90420,OULU,13042.0,14851.0,79781.0,13929.0,2003,0,0,0,503321
621702,"Kaakkurin koulu ja Kaakonpojan päiväkoti, väestönsuoja",511 Yleissivistävien oppilaitosten rakennukset,06,Kaakkuri,Pesätie 15,90420,OULU,0.0,597.0,2555.0,597.0,2004,0,0,0,503322
621703,"Kaakkurin koulu ja päiväkoti, ulkovarasto",511 Yleissivistävien oppilaitosten rakennukset,06,Kaakkuri,Pesätie 15,90420,OULU,0.0,23.0,59.0,23.0,2004,0,0,0,503323
693101,Teknologiakylän päiväkoti,231 Lasten päiväkodit,12,Kaijonharju,Kaitoväylä 8,90570,OULU,621.0,764.0,2291.0,764.0,1990,2006,1,0,503324
603408,"Vammaisten asumispalveluyksikkö, Weikonkoti",223 Kehitysvammaisten hoitolaitokset,08,Tuira,Kangaspolku 2,90500,OULU,360.0,438.0,1650.0,438.0,1920,2004,2,0,503325
603407,"Vammaisten asumispalveluyksikkö, Schjerfbeck-koti",223 Kehitysvammaisten hoitolaitokset,08,Tuira,Kangaspolku 2,90500,OULU,415.0,493.0,2200.0,472.0,1920,2004,1,0,503326
603406,"Vammaisten asumispalveluyksikkö, varasto",223 Kehitysvammaisten hoitolaitokset,08,Tuira,Kangaspolku 2,90500,OULU,87.0,88.5,380.0,88.5,1920,2004,1,0,503327
602102,"Kaupunginsairaala, 2. vaihe",213 Muut sairaalat,03,Oulunsuu,Kiviharjuntie 5 A,90220,OULU,4559.0,5137.0,21426.0,4600.0,2004,0,4,0,503328
623501,Talvikankaan monitoimitalo,231 Lasten päiväkodit,15,Korvensuora,Tuiskutie 10,90630,OULU,2183.0,2417.5,10080.0,2115.0,2004,0,0,0,503329
623503,"Talvikankaan monitoimitalo, varasto ja leikkimökki",231 Lasten päiväkodit,15,Korvensuora,Tuiskutie 10,90630,OULU,45.0,61.5,210.0,61.5,2004,0,0,0,503330
619401,Hovinsuon urheilupuiston huoltorakennus,359 Muut urheilu- ja kuntoilurakennukset,13,Myllyoja,Hintankuja 3,90650,OULU,140.0,200.0,736.0,200.0,2005,0,1,0,503331
607902,"Koskelan päiväkoti, varasto",231 Lasten päiväkodit,10,Koskela,Tuulaakitie 3,90560,OULU,14.0,15.0,40.0,15.0,1987,0,0,0,503332
